Date,Interest Rates (MPR),Interest Rates (AL),Total Liquidity/M2+,Private Sector Credit,Exchange Rates ,Exchange Rates,Commodity Prices,Commodity Prices ,Commodity Prices,CPI,Inflation
2015-01-01,21.0,29.0,36835.30,21000.00,3.22,3.24,2871.20,49.80,1249.90,50.70,16.40
2015-02-01,21.0,29.0,37673.40,21900.00,3.36,3.47,2894.00,58.70,1228.60,51.30,16.50
2015-03-01,21.0,29.0,38387.80,23300.00,3.59,3.75,2796.90,57.00,1181.20,51.90,16.60
2015-04-01,21.0,29.0,39512.40,24000.00,3.81,3.85,2830.00,60.90,1194.70,52.80,16.80
2015-05-01,22.0,29.0,40416.80,24700.00,3.89,4.00,3056.00,65.60,1202.30,53.30,16.90
2015-06-01,22.0,29.0,41466.50,26000.00,4.18,4.33,3193.70,63.80,1182.90,54.30,17.10
2015-07-01,22.0,27.9,37355.30,24200.00,3.53,3.45,3276.80,56.70,1130.50,55.50,17.90
2015-08-01,24.0,27.9,39736.00,25600.00,3.86,4.05,3093.70,48.20,1118.10,55.10,17.30
2015-09-01,25.0,29.0,39526.20,25300.00,3.78,3.75,3235.30,48.60,1124.70,55.00,17.40
2015-10-01,25.0,28.2,42346.70,25800.00,3.76,3.79,3134.70,49.10,1157.80,56.50,17.40
2015-11-01,26.0,29.2,43822.30,25700.00,3.79,3.79,3313.80,45.70,1087.10,57.10,17.60
2015-12-01,26.0,27.5,46455.20,26200.00,3.79,3.79,3300.80,38.90,1069.40,57.70,17.70
2016-01-01,26.0,28.8,46129.60,26100.00,3.81,3.83,2895.00,31.90,1098.10,60.40,19.00
2016-02-01,26.0,28.0,44928.10,26200.00,3.87,3.88,2860.90,33.40,1198.80,60.80,18.50
2016-03-01,26.0,28.0,45333.80,25900.00,3.85,3.83,3010.10,39.80,1243.00,61.80,19.20
2016-04-01,26.0,28.0,45962.80,26600.00,3.82,3.80,3084.40,43.30,1242.80,62.70,18.70
2016-05-01,26.0,28.2,47218.10,27200.00,3.81,3.83,3023.60,47.60,1258.10,63.40,18.90
2016-06-01,26.0,27.9,46457.80,28300.00,3.88,3.92,3070.50,49.90,1277.80,64.30,18.40
2016-07-01,26.0,28.5,47038.20,28200.00,3.94,3.95,2998.90,46.60,1338.30,64.80,16.70
2016-08-01,26.0,28.1,47895.50,28800.00,3.95,3.94,2993.50,47.20,1339.20,64.40,16.90
2016-09-01,26.0,27.8,48344.70,28500.00,3.96,3.97,2845.70,47.20,1325.40,64.50,17.20
2016-10-01,26.0,28.0,50723.60,28900.00,3.97,3.96,2694.60,51.40,1267.20,65.40,15.80
2016-11-01,25.5,28.2,52926.50,29200.00,3.97,3.98,2441.70,47.10,1237.60,66.00,15.50
2016-12-01,25.5,28.1,56692.10,30000.00,4.09,4.20,2268.40,54.90,1151.20,66.60,15.40
2017-01-01,25.5,27.6,58436.40,30000.00,4.24,4.27,2180.20,55.50,1192.80,68.40,13.30
2017-02-01,25.5,27.6,58346.80,30800.00,4.37,4.48,2003.00,56.00,1233.80,68.90,13.20
2017-03-01,23.5,27.7,58139.80,31000.00,4.48,4.32,2036.40,52.50,1231.40,69.70,12.80
2017-04-01,23.5,27.5,58195.20,30900.00,4.20,4.19,1952.60,53.70,1270.00,70.90,13.00
2017-05-01,22.5,27.3,58400.20,31600.00,4.24,4.29,1952.70,51.10,1246.10,71.40,12.60
2017-06-01,22.5,27.3,59903.80,32500.00,4.33,4.36,1956.80,47.50,1261.80,72.00,12.10
2017-07-01,21.0,27.2,61134.30,32200.00,4.37,4.37,1929.40,49.20,1236.60,72.50,11.90
2017-08-01,21.0,27.2,59845.30,30600.00,4.39,4.40,1947.60,51.90,1283.40,72.40,12.30
